lld,label,entropy,length
s,0,-0.0,1
wpa.b,0,2.321928094887362,5
rcm-eu,0,2.584962500721156,6
fusion,0,2.584962500721156,6
c1,0,1.0,2
farm6,0,2.321928094887362,5
mini,0,1.5,4
v.t,0,1.584962500721156,3
china,0,2.321928094887362,5
data,0,1.5,4
free,0,1.5,4
adsabs,0,1.9182958340544893,6
page,0,2.0,4
stock,0,2.321928094887362,5
clk,0,1.584962500721156,3
scripts,0,2.5216406363433186,7
hao,0,1.584962500721156,3
twitter,0,2.1280852788913944,7
top100,0,2.2516291673878226,6
report,0,2.2516291673878226,6
redirect,0,2.5,8
ss,0,-0.0,2
eric,0,2.0,4
px,0,1.0,2
torgi,0,2.321928094887362,5
live,0,2.0,4
new,0,1.584962500721156,3
store.shopping,0,3.378783493486176,14
farm6.static,0,3.2516291673878226,12
my,0,1.0,2
confluence,0,2.7219280948873625,10
id,0,1.0,2
lcweb2,0,2.584962500721156,6
games,0,2.321928094887362,5
fashion,0,2.807354922057604,7
qq,0,-0.0,2
msdn2,0,2.321928094887362,5
traffic,0,2.521640636343318,7
line,0,2.0,4
www.perseus,0,2.6635327548042547,11
info,0,2.0,4
si,0,1.0,2
product,0,2.807354922057604,7
img156,0,2.584962500721156,6
pravo,0,2.321928094887362,5
zen,0,1.584962500721156,3
car,0,1.584962500721156,3
article,0,2.807354922057604,7
kuaibao,0,2.5216406363433186,7
kb,0,1.0,2
ae01,0,2.0,4
2v,0,1.0,2
yule,0,2.0,4
www.search,0,2.8464393446710154,10
eladies,0,2.5216406363433186,7
zakupki,0,2.5216406363433186,7
duma,0,2.0,4
pubchem.ncbi.nlm,0,3.375,16
wwp,0,0.9182958340544896,3
ypk,0,1.584962500721156,3
farm5,0,2.321928094887362,5
r,0,-0.0,1
world,0,2.321928094887362,5
liuyan,0,2.584962500721156,6
media,0,2.321928094887362,5
credit,0,2.584962500721156,6
pl-pl,0,1.5219280948873621,5
114,0,0.9182958340544896,3
br,0,1.0,2
purchase,0,3.0,8
clck,0,1.5,4
levit,0,2.321928094887362,5
