lld,label,entropy,length,numbchars,numbdots
nt,0,1.0,2,0.0,0
justice,0,2.807354922057604,7,0.0,0
com,0,1.584962500721156,3,0.0,0
parikmaher,0,2.9219280948873623,10,0.0,0
ind5,0,2.0,4,0.25,0
eunet,0,1.9219280948873623,5,0.0,0
sweetmeet,0,2.0588138903312014,9,0.0,0
school44,0,2.5,8,0.25,0
hq,0,1.0,2,0.0,0
statistica,0,2.2464393446710154,10,0.0,0
mari-el,0,2.807354922057604,7,0.14285714285714285,0
finland,0,2.5216406363433186,7,0.0,0
7799,0,1.0,4,1.0,0
www.mizunorunningshoes,0,3.51602764126623,22,0.045454545454545456,1
sucai,0,2.321928094887362,5,0.0,0
mstu,0,2.0,4,0.0,0
category,0,3.0,8,0.0,0
bruss,0,1.9219280948873623,5,0.0,0
indprop,0,2.521640636343318,7,0.0,0
distilleryimage2.s3,0,3.681880802803401,19,0.15789473684210525,1
carmarthenshire,0,3.1898980954642875,15,0.0,0
nbajerseyscheapwholesale,0,3.5383201891060003,24,0.0,0
allpix,0,2.2516291673878226,6,0.0,0
openinstalljump,0,3.5068905956085183,15,0.0,0
v6.player,0,3.169925001442312,9,0.2222222222222222,1
uolhost,0,2.5216406363433186,7,0.0,0
madou259,0,3.0,8,0.375,0
buylevitraonline,0,3.5,16,0.0,0
international,0,2.873140679513133,13,0.0,0
ua,0,1.0,2,0.0,0
www.omsk,0,2.4056390622295662,8,0.125,1
dziennik,0,2.5,8,0.0,0
redirect.appmetrica,0,3.2210972500579573,19,0.05263157894736842,1
poloralphlauren,0,3.0565647621309533,15,0.0,0
img2,0,2.0,4,0.25,0
bf,0,1.0,2,0.0,0
bdk,0,1.584962500721156,3,0.0,0
488,0,0.9182958340544896,3,1.0,0
mddsz,0,1.9219280948873623,5,0.0,0
tvunderground,0,3.085055102756477,13,0.0,0
deti,0,2.0,4,0.0,0
zjgold,0,2.584962500721156,6,0.0,0
pnu,0,1.584962500721156,3,0.0,0
coupon.m,0,2.75,8,0.125,1
ziliao,0,2.2516291673878226,6,0.0,0
atq.ck,0,2.584962500721156,6,0.16666666666666666,1
xnxxpornoxnxx,0,1.9877733714879842,13,0.0,0
jingluocuimian,0,3.182005814760214,14,0.0,0
guides,0,2.584962500721156,6,0.0,0
sgg,0,0.9182958340544896,3,0.0,0
repairguide,0,2.9139770731827523,11,0.0,0
mizs,0,2.0,4,0.0,0
czm-volga,0,3.169925001442312,9,0.1111111111111111,0
temai.m,0,2.5216406363433186,7,0.14285714285714285,1
fund,0,2.0,4,0.0,0
www.michaelkors-outletonlinesale,0,3.890319531114783,32,0.0625,1
michaelkors-outletonlinesale,0,3.708966082694624,28,0.03571428571428571,0
ivanovo,0,2.2359263506290326,7,0.0,0
discom,0,2.584962500721156,6,0.0,0
jinrong,0,2.5216406363433186,7,0.0,0
shouyou,0,2.2359263506290326,7,0.0,0
findyourmp,0,3.321928094887362,10,0.0,0
pekanbaru,0,2.94770277922009,9,0.0,0
slova,0,2.321928094887362,5,0.0,0
sociology,0,2.6416041678685933,9,0.0,0
salebuy,0,2.807354922057604,7,0.0,0
dogana,0,2.251629167387823,6,0.0,0
sao,0,1.584962500721156,3,0.0,0
playroom,0,2.75,8,0.0,0
australia-stage,0,3.106890595608518,15,0.06666666666666667,0
digma,0,2.321928094887362,5,0.0,0
aveiro,0,2.584962500721156,6,0.0,0
dxb,0,1.584962500721156,3,0.0,0
cl,0,1.0,2,0.0,0
cps,0,1.584962500721156,3,0.0,0
moonshinecreek,0,3.182005814760214,14,0.0,0
nso,0,1.584962500721156,3,0.0,0
mgul,0,2.0,4,0.0,0
e-uprava,0,2.75,8,0.125,0
employment,0,2.9219280948873623,10,0.0,0
naoke,0,2.321928094887362,5,0.0,0
fano,0,2.0,4,0.0,0
images-gmi-pmc,0,3.039148671903071,14,0.14285714285714285,0
www.nfljerseysofficialshop,0,3.8441065448145375,26,0.038461538461538464,1
rent,0,2.0,4,0.0,0
index,0,2.321928094887362,5,0.0,0
imagescdn,0,3.169925001442312,9,0.0,0
kmbdf,0,2.321928094887362,5,0.0,0
ess,0,0.9182958340544896,3,0.0,0
movingimage,0,2.9139770731827523,11,0.0,0
pwnd,0,2.0,4,0.0,0
s12,0,1.584962500721156,3,0.6666666666666666,0
counter,0,2.807354922057604,7,0.0,0
erostone,0,2.5,8,0.0,0
ab,0,1.0,2,0.0,0
i851,0,2.0,4,0.75,0
rgutis,0,2.584962500721156,6,0.0,0
ads,0,1.584962500721156,3,0.0,0
fu,0,1.0,2,0.0,0
wbc,0,1.584962500721156,3,0.0,0
all-cs,0,2.2516291673878226,6,0.16666666666666666,0
sealinfo,0,3.0,8,0.0,0
afflnk,0,2.2516291673878226,6,0.0,0
artifact,0,2.5,8,0.0,0
dujia,0,2.321928094887362,5,0.0,0
biol,0,2.0,4,0.0,0
affiliatesys,0,2.9182958340544896,12,0.0,0
yhmf,0,2.0,4,0.0,0
rosnedra,0,2.75,8,0.0,0
1v1d1e1lmiki1lgcvx32p49h8fe-wpengine,0,4.215354779870081,36,0.3055555555555556,0
kamchatka,0,2.4193819456463714,9,0.0,0
sakhalin,0,2.75,8,0.0,0
df,0,1.0,2,0.0,0
zrr269,0,2.2516291673878226,6,0.5,0
photos3,0,2.5216406363433186,7,0.14285714285714285,0
direct,0,2.584962500721156,6,0.0,0
pics,0,2.0,4,0.0,0
events,0,2.2516291673878226,6,0.0,0
honda,0,2.321928094887362,5,0.0,0
nike-skors,0,2.9219280948873623,10,0.1,0
ns.ac,0,2.321928094887362,5,0.2,1
hilmawan.blogs,0,3.521640636343319,14,0.07142857142857142,1
proverki,0,2.75,8,0.0,0
annuaire,0,2.5,8,0.0,0
converseschuhe,0,3.039148671903071,14,0.0,0
mfinante,0,2.75,8,0.0,0
mobiloil,0,2.25,8,0.0,0
statik,0,2.2516291673878226,6,0.0,0
comps,0,2.321928094887362,5,0.0,0
links,0,2.321928094887362,5,0.0,0
business,0,2.4056390622295662,8,0.0,0
emet,0,1.5,4,0.0,0
bacalaureat,0,2.7321588913645707,11,0.0,0
comunicatii,0,2.845350936622437,11,0.0,0
dianxian,0,2.25,8,0.0,0
34rfwef2sdf,0,3.027169118440619,11,0.2727272727272727,0
office,0,2.2516291673878226,6,0.0,0
chromeheart,0,2.9139770731827523,11,0.0,0
house-md,0,3.0,8,0.125,0
iem,0,1.584962500721156,3,0.0,0
zinkiu,0,2.2516291673878226,6,0.0,0
irk,0,1.584962500721156,3,0.0,0
www.fr,0,1.7924812503605778,6,0.16666666666666666,1
www.sbr,0,2.1280852788913944,7,0.14285714285714285,1
ereffccdsdfhrd,0,2.699513850319966,14,0.0,0
crimea,0,2.584962500721156,6,0.0,0
imagesonline,0,3.084962500721156,12,0.0,0
sdfsd2dsa,0,2.113283334294875,9,0.1111111111111111,0
faqs,0,2.0,4,0.0,0
pcash,0,2.321928094887362,5,0.0,0
rc,0,1.0,2,0.0,0
zaozerskdou4,0,3.2516291673878226,12,0.08333333333333333,0
bkfud634,0,3.0,8,0.375,0
fsd24ffsf,0,2.058813890331201,9,0.2222222222222222,0
sdfsdr34fdsf2,0,2.6031579868726,13,0.23076923076923078,0
webww,0,1.3709505944546687,5,0.0,0
bbc,0,0.9182958340544896,3,0.0,0
mavrommatis,0,2.845350936622437,11,0.0,0
dfsf34czxc,0,2.9219280948873623,10,0.2,0
fsdf34fsdfsd,0,2.1258145836939115,12,0.16666666666666666,0
rrry3dttetrefer,0,2.498929563690935,15,0.06666666666666667,0
skracam,0,2.521640636343318,7,0.0,0
fyrlvldkrefer,0,2.8731406795131336,13,0.0,0
big5,0,2.0,4,0.25,0
dldltspvpps4,0,2.6887218755408666,12,0.08333333333333333,0
sdf34fsdt3,0,2.521928094887362,10,0.3,0
luxury,0,2.2516291673878226,6,0.0,0
down,0,2.0,4,0.0,0
telecom,0,2.5216406363433186,7,0.0,0
khlfglrdppesv,0,3.3927474104487847,13,0.0,0
rastko.org,0,2.9219280948873623,10,0.1,1
sfdff3fsdf,0,1.7609640474436812,10,0.1,0
jarasinfo,0,2.94770277922009,9,0.0,0
svadba,0,2.2516291673878226,6,0.0,0
marriott,0,2.5,8,0.0,0
superforum,0,2.9219280948873623,10,0.0,0
leienhenger,0,2.5503407095463886,11,0.0,0
tinhte,0,2.2516291673878226,6,0.0,0
antanta,0,1.5566567074628228,7,0.0,0
school2-aksay,0,3.238901256602631,13,0.15384615384615385,0
ip.affiliate,0,2.8553885422075336,12,0.08333333333333333,1
sou,0,1.584962500721156,3,0.0,0
zspk,0,2.0,4,0.0,0
ecoaula,0,2.521640636343318,7,0.0,0
mop,0,1.584962500721156,3,0.0,0
miem,0,1.5,4,0.0,0
ke,0,1.0,2,0.0,0
www.gov,0,2.1280852788913944,7,0.14285714285714285,1
pic,0,1.584962500721156,3,0.0,0
imm,0,0.9182958340544896,3,0.0,0
atemi,0,2.321928094887362,5,0.0,0
artclassic,0,2.7219280948873625,10,0.0,0
nefmi,0,2.321928094887362,5,0.0,0
botanical,0,2.94770277922009,9,0.0,0
www.swarovskisjewelry,0,3.422577995321604,21,0.047619047619047616,1
onlinecasinodeutschland,0,3.480083695187448,23,0.0,0
ballonger,0,2.94770277922009,9,0.0,0
read,0,2.0,4,0.0,0
bike,0,2.0,4,0.0,0
simplesolutions,0,3.189898095464287,15,0.0,0
technolog,0,2.94770277922009,9,0.0,0
opendata,0,2.75,8,0.0,0
fpi,0,1.584962500721156,3,0.0,0
historydoc,0,3.121928094887362,10,0.0,0
foodstandards,0,2.873140679513133,13,0.0,0
